variable,set,MAE,R2,accuracy
tavg,train,1.0049123159892495,0.9588138088099419,
tavg,validation,2.9029297695833263,0.5237309788650601,
tavg,test,2.590664938986115,0.7649344704450134,
tmax,train,1.0607422273536626,0.9555063044589245,
tmax,validation,3.0184951139899923,0.4841565336881153,
tmax,test,2.781865688416729,0.7373295054939513,
prcp,train,0.18368009021888285,0.8917325064978144,
prcp,validation,0.7493586159405801,0.11994179048373543,
prcp,test,0.40800839521294335,0.027982215238908092,
rain,train,,,0.9992175273865415
rain,validation,,,0.7773722627737226
rain,test,,,0.8836363636363637
